timestamp,vehicleID,tripID,drive_day,lat,lon,speed_kmph,heading_deg,event,fuel_l_cumulative,ts_s
2025-09-16 08:00:00,WB4222,trip-0002,1,22.57286,88.36401,62.1,35.3,HarshBraking,0.051,0
2025-09-16 08:01:00,WB4222,trip-0002,1,22.57533,88.365903,59.2,35.3,,0.101,60
2025-09-16 08:02:00,WB4222,trip-0002,1,22.576312,88.365042,62.9,321.1,Overspeed,0.153,120
2025-09-16 08:03:00,WB4222,trip-0002,1,22.581488,88.352355,64.1,293.8,Overspeed,0.206,180
2025-09-16 08:04:00,WB4222,trip-0002,1,22.584648,88.348607,60.4,312.4,HarshBraking,0.256,240
2025-09-16 08:05:00,WB4222,trip-0002,1,22.58488,88.347666,58.7,284.9,,0.305,300
2025-09-16 08:06:00,WB4222,trip-0002,1,22.585112,88.346725,57.2,284.9,,0.353,360
2025-09-16 08:07:00,WB4222,trip-0002,1,22.585343,88.345784,62.2,284.9,Overspeed,0.405,420
2025-09-16 08:08:00,WB4222,trip-0002,1,22.585575,88.344843,58.8,284.9,,0.454,480
2025-09-16 08:09:00,WB4222,trip-0002,1,22.585414,88.340165,63.5,267.9,HarshAcceleration,0.519,540
2025-09-16 08:10:00,WB4222,trip-0002,1,22.58568,88.339235,63.4,287.2,Overspeed,0.572,600
2025-09-16 08:11:00,WB4222,trip-0002,1,22.584394,88.338188,59.7,216.9,,0.622,660
2025-09-16 08:12:00,WB4222,trip-0002,1,22.583285,88.337527,64.7,208.9,Overspeed,0.675,720
2025-09-16 08:13:00,WB4222,trip-0002,1,22.581745,88.332893,57.7,250.2,,0.723,780
2025-09-16 08:14:00,WB4222,trip-0002,1,22.584791,88.331658,63.8,339.5,Overspeed,0.776,840
2025-09-16 08:15:00,WB4222,trip-0002,1,22.586992,88.322073,63.5,284.0,Overspeed,0.828,900
2025-09-16 08:16:00,WB4222,trip-0002,1,22.590666,88.320458,61.3,337.9,Overspeed,0.879,960
2025-09-16 08:17:00,WB4222,trip-0002,1,22.594515,88.319242,60.0,343.7,Overspeed,0.929,1020
2025-09-16 08:18:00,WB4222,trip-0002,1,22.604723,88.320494,63.6,6.5,Overspeed,0.981,1080
2025-09-16 08:19:00,WB4222,trip-0002,1,22.610395,88.312765,63.9,308.5,Overspeed,1.034,1140
2025-09-16 08:20:00,WB4222,trip-0002,1,22.612134,88.309885,62.6,303.2,Overspeed,1.086,1200
2025-09-16 08:21:00,WB4222,trip-0002,1,22.613083,88.30857,58.8,308.0,,1.135,1260
2025-09-16 08:22:00,WB4222,trip-0002,1,22.613641,88.307806,57.6,308.3,,1.183,1320
2025-09-16 08:23:00,WB4222,trip-0002,1,22.615177,88.306376,57.8,319.3,,1.232,1380
2025-09-16 08:24:00,WB4222,trip-0002,1,22.618976,88.301755,62.1,311.7,Overspeed,1.283,1440
2025-09-16 08:25:00,WB4222,trip-0002,1,22.619902,88.299602,60.0,295.0,,1.333,1500
2025-09-16 08:26:00,WB4222,trip-0002,1,22.622878,88.295478,59.1,308.0,,1.383,1560
2025-09-16 08:27:00,WB4222,trip-0002,1,22.623683,88.293606,62.2,295.0,Overspeed,1.434,1620
2025-09-16 08:28:00,WB4222,trip-0002,1,22.630651,88.301184,58.4,45.1,,1.483,1680
2025-09-16 08:29:00,WB4222,trip-0002,1,22.632654,88.301839,58.3,16.8,,1.532,1740
2025-09-16 08:30:00,WB4222,trip-0002,1,22.633514,88.302123,64.9,17.0,Overspeed,1.585,1800
2025-09-16 08:31:00,WB4222,trip-0002,1,22.634374,88.302407,61.5,17.0,Overspeed,1.636,1860
2025-09-16 08:32:00,WB4222,trip-0002,1,22.635234,88.302692,63.7,17.0,Overspeed,1.689,1920
2025-09-16 08:33:00,WB4222,trip-0002,1,22.639588,88.304125,58.8,16.9,HarshBraking,1.738,1980
2025-09-16 08:34:00,WB4222,trip-0002,1,22.640791,88.304522,59.5,16.9,,1.787,2040
2025-09-16 08:35:00,WB4222,trip-0002,1,22.641651,88.304807,58.7,17.0,,1.837,2100
2025-09-16 08:36:00,WB4222,trip-0002,1,22.643872,88.305547,64.0,17.1,Overspeed,1.889,2160
2025-09-16 08:37:00,WB4222,trip-0002,1,22.644732,88.305831,62.2,16.9,Overspeed,1.941,2220
2025-09-16 08:38:00,WB4222,trip-0002,1,22.645592,88.306115,64.3,16.9,Overspeed,1.994,2280
2025-09-16 08:39:00,WB4222,trip-0002,1,22.647734,88.306814,59.1,16.8,,2.043,2340
2025-09-16 08:40:00,WB4222,trip-0002,1,22.648596,88.307093,61.5,16.7,Overspeed,2.094,2400
2025-09-16 08:41:00,WB4222,trip-0002,1,22.649457,88.307373,61.7,16.7,Overspeed,2.145,2460
2025-09-16 08:42:00,WB4222,trip-0002,1,22.650319,88.307652,60.2,16.7,Overspeed,2.195,2520
2025-09-16 08:43:00,WB4222,trip-0002,1,22.65118,88.307932,65.0,16.7,Overspeed,2.249,2580
2025-09-16 08:44:00,WB4222,trip-0002,1,22.652239,88.308264,57.7,16.2,Overspeed,2.297,2640
2025-09-16 08:45:00,WB4222,trip-0002,1,22.6531,88.308545,57.9,16.7,,2.346,2700
2025-09-16 08:46:00,WB4222,trip-0002,1,22.665418,88.303956,63.3,341.0,Overspeed,2.398,2760
2025-09-16 08:47:00,WB4222,trip-0002,1,22.66771,88.302923,57.5,337.4,,2.446,2820
2025-09-16 08:48:00,WB4222,trip-0002,1,22.671968,88.300832,65.0,335.6,Overspeed,2.5,2880
2025-09-16 08:49:00,WB4222,trip-0002,1,22.677483,88.298329,64.8,337.3,Overspeed,2.553,2940
2025-09-16 08:50:00,WB4222,trip-0002,1,22.6786,88.297852,57.1,338.5,,2.601,3000
2025-09-16 08:51:00,WB4222,trip-0002,1,22.689338,88.293217,62.5,338.3,Overspeed,2.652,3060
2025-09-16 08:52:00,WB4222,trip-0002,1,22.690428,88.292698,59.1,336.3,,2.702,3120
2025-09-16 08:53:00,WB4222,trip-0002,1,22.691253,88.292309,57.9,336.5,,2.75,3180
2025-09-16 08:54:00,WB4222,trip-0002,1,22.692078,88.291921,60.6,336.5,Overspeed,2.801,3240
2025-09-16 08:55:00,WB4222,trip-0002,1,22.694918,88.29064,64.0,337.4,Overspeed,2.854,3300
2025-09-16 08:56:00,WB4222,trip-0002,1,22.697029,88.289679,61.0,337.2,Overspeed,2.904,3360
2025-09-16 08:57:00,WB4222,trip-0002,1,22.697845,88.289268,64.3,335.1,Overspeed,2.957,3420
2025-09-16 08:58:00,WB4222,trip-0002,1,22.700237,88.288168,59.4,337.0,,3.007,3480
2025-09-16 08:59:00,WB4222,trip-0002,1,22.702244,88.287214,61.9,336.3,Overspeed,3.058,3540
2025-09-16 09:00:00,WB4222,trip-0002,1,22.703067,88.286821,63.1,336.2,Overspeed,3.11,3600
2025-09-16 09:01:00,WB4222,trip-0002,1,22.703889,88.286427,63.2,336.2,Overspeed,3.162,3660
2025-09-16 09:02:00,WB4222,trip-0002,1,22.704712,88.286034,57.0,336.2,,3.21,3720
2025-09-16 09:03:00,WB4222,trip-0002,1,22.705975,88.285443,57.2,336.6,,3.258,3780
2025-09-16 09:04:00,WB4222,trip-0002,1,22.708307,88.28434,64.0,336.4,Overspeed,3.311,3840
2025-09-16 09:05:00,WB4222,trip-0002,1,22.709852,88.283614,59.5,336.6,Overspeed,3.361,3900
2025-09-16 09:06:00,WB4222,trip-0002,1,22.710679,88.28323,64.0,336.8,Overspeed,3.413,3960
2025-09-16 09:07:00,WB4222,trip-0002,1,22.711804,88.282696,57.7,336.4,,3.462,4020
2025-09-16 09:08:00,WB4222,trip-0002,1,22.714043,88.281639,57.6,336.5,,3.51,4080
2025-09-16 09:09:00,WB4222,trip-0002,1,22.714868,88.281251,63.1,336.6,Overspeed,3.562,4140
2025-09-16 09:10:00,WB4222,trip-0002,1,22.715693,88.280863,60.8,336.6,Overspeed,3.613,4200
2025-09-16 09:11:00,WB4222,trip-0002,1,22.719281,88.279161,59.1,336.4,,3.662,4260
2025-09-16 09:12:00,WB4222,trip-0002,1,22.720839,88.278438,60.4,336.8,Overspeed,3.712,4320
2025-09-16 09:13:00,WB4222,trip-0002,1,22.724342,88.276921,61.3,338.2,Overspeed,3.763,4380
2025-09-16 09:14:00,WB4222,trip-0002,1,22.727324,88.275817,58.6,341.1,,3.812,4440
2025-09-16 09:15:00,WB4222,trip-0002,1,22.728173,88.275497,65.0,340.8,Overspeed,3.866,4500
2025-09-16 09:16:00,WB4222,trip-0002,1,22.729537,88.274988,60.5,341.0,Overspeed,3.916,4560
2025-09-16 09:17:00,WB4222,trip-0002,1,22.730388,88.274671,58.0,341.1,,3.965,4620
2025-09-16 09:18:00,WB4222,trip-0002,1,22.734001,88.273323,59.7,341.0,,4.014,4680
2025-09-16 09:19:00,WB4222,trip-0002,1,22.734852,88.273008,58.8,341.1,,4.064,4740
2025-09-16 09:20:00,WB4222,trip-0002,1,22.735703,88.272693,57.6,341.1,,4.112,4800
2025-09-16 09:21:00,WB4222,trip-0002,1,22.736554,88.272377,58.8,341.1,,4.161,4860
2025-09-16 09:22:00,WB4222,trip-0002,1,22.738415,88.271682,63.9,341.0,Overspeed,4.214,4920
2025-09-16 09:23:00,WB4222,trip-0002,1,22.739265,88.271364,58.9,340.9,,4.263,4980
2025-09-16 09:24:00,WB4222,trip-0002,1,22.740115,88.271045,58.7,340.9,,4.312,5040
2025-09-16 09:25:00,WB4222,trip-0002,1,22.740965,88.270727,64.5,340.9,Overspeed,4.365,5100
2025-09-16 09:26:00,WB4222,trip-0002,1,22.741815,88.270408,60.8,340.9,Overspeed,4.416,5160
2025-09-16 09:27:00,WB4222,trip-0002,1,22.742665,88.270089,63.5,340.9,Overspeed,4.468,5220
2025-09-16 09:28:00,WB4222,trip-0002,1,22.744317,88.26948,57.8,341.2,,4.517,5280
2025-09-16 09:29:00,WB4222,trip-0002,1,22.747115,88.268409,60.4,340.6,Overspeed,4.567,5340
2025-09-16 09:30:00,WB4222,trip-0002,1,22.750305,88.267192,62.8,340.6,Overspeed,4.619,5400
2025-09-16 09:31:00,WB4222,trip-0002,1,22.751154,88.266869,64.9,340.6,Overspeed,4.672,5460
2025-09-16 09:32:00,WB4222,trip-0002,1,22.752002,88.266545,60.2,340.6,Overspeed,4.722,5520
2025-09-16 09:33:00,WB4222,trip-0002,1,22.754027,88.265773,63.9,340.6,Overspeed,4.775,5580
2025-09-16 09:34:00,WB4222,trip-0002,1,22.755566,88.26501,58.5,335.5,,4.824,5640
2025-09-16 09:35:00,WB4222,trip-0002,1,22.756715,88.264422,60.4,334.7,Overspeed,4.874,5700
2025-09-16 09:36:00,WB4222,trip-0002,1,22.759083,88.26319,59.0,334.4,,4.923,5760
2025-09-16 09:37:00,WB4222,trip-0002,1,22.759895,88.262772,60.5,334.6,Overspeed,4.974,5820
2025-09-16 09:38:00,WB4222,trip-0002,1,22.760707,88.262354,61.4,334.6,Overspeed,5.025,5880
2025-09-16 09:39:00,WB4222,trip-0002,1,22.76152,88.261936,65.0,334.6,Overspeed,5.078,5940
2025-09-16 09:40:00,WB4222,trip-0002,1,22.763354,88.260981,64.8,334.4,Overspeed,5.131,6000
2025-09-16 09:41:00,WB4222,trip-0002,1,22.76556,88.259843,63.8,334.6,Overspeed,5.184,6060
2025-09-16 09:42:00,WB4222,trip-0002,1,22.767375,88.258911,60.9,334.7,Overspeed,5.234,6120
2025-09-16 09:43:00,WB4222,trip-0002,1,22.7689,88.258137,60.2,334.9,Overspeed,5.284,6180
2025-09-16 09:44:00,WB4222,trip-0002,1,22.769715,88.257724,60.0,334.9,Overspeed,5.334,6240
2025-09-16 09:45:00,WB4222,trip-0002,1,22.771447,88.256861,59.1,335.3,,5.384,6300
2025-09-16 09:46:00,WB4222,trip-0002,1,22.772987,88.25612,60.6,336.1,Overspeed,5.434,6360
2025-09-16 09:47:00,WB4222,trip-0002,1,22.776756,88.254478,64.7,338.1,Overspeed,5.487,6420
2025-09-16 09:48:00,WB4222,trip-0002,1,22.779481,88.253404,61.4,340.0,Overspeed,5.538,6480
2025-09-16 09:49:00,WB4222,trip-0002,1,22.780327,88.253074,58.2,340.2,,5.587,6540
2025-09-16 09:50:00,WB4222,trip-0002,1,22.785096,88.25119,64.7,340.0,Overspeed,5.64,6600
2025-09-16 09:51:00,WB4222,trip-0002,1,22.785941,88.250857,61.3,340.0,Overspeed,5.691,6660
2025-09-16 09:52:00,WB4222,trip-0002,1,22.787746,88.250145,57.5,340.0,,5.739,6720
2025-09-16 09:53:00,WB4222,trip-0002,1,22.791765,88.248581,61.0,340.3,Overspeed,5.79,6780
2025-09-16 09:54:00,WB4222,trip-0002,1,22.793505,88.247922,58.3,340.7,,5.839,6840
2025-09-16 09:55:00,WB4222,trip-0002,1,22.794355,88.247602,57.6,340.9,,5.887,6900
2025-09-16 09:56:00,WB4222,trip-0002,1,22.797732,88.246329,61.8,340.8,Overspeed,5.939,6960
2025-09-16 09:57:00,WB4222,trip-0002,1,22.798582,88.246012,58.9,341.0,,5.988,7020
2025-09-16 09:58:00,WB4222,trip-0002,1,22.801145,88.245079,64.1,341.5,Overspeed,6.041,7080
2025-09-16 09:59:00,WB4222,trip-0002,1,22.802749,88.244492,61.8,341.4,Overspeed,6.092,7140
2025-09-16 10:00:00,WB4222,trip-0002,1,22.803724,88.244136,60.4,341.4,Overspeed,6.142,7200
2025-09-16 10:01:00,WB4222,trip-0002,1,22.810309,88.241477,61.2,339.6,Overspeed,6.193,7260
2025-09-16 10:02:00,WB4222,trip-0002,1,22.812766,88.24042,58.6,338.4,,6.242,7320
2025-09-16 10:03:00,WB4222,trip-0002,1,22.813601,88.24006,58.9,338.3,,6.291,7380
2025-09-16 10:04:00,WB4222,trip-0002,1,22.814437,88.2397,62.4,338.3,Overspeed,6.343,7440
2025-09-16 10:05:00,WB4222,trip-0002,1,22.815273,88.239339,59.5,338.3,,6.392,7500
2025-09-16 10:06:00,WB4222,trip-0002,1,22.816667,88.238751,57.6,338.7,,6.441,7560
2025-09-16 10:07:00,WB4222,trip-0002,1,22.818024,88.238156,65.0,338.0,Overspeed,6.494,7620
2025-09-16 10:08:00,WB4222,trip-0002,1,22.819253,88.237627,57.6,338.3,,6.543,7680
2025-09-16 10:09:00,WB4222,trip-0002,1,22.821835,88.236548,59.1,338.9,,6.592,7740
2025-09-16 10:10:00,WB4222,trip-0002,1,22.824547,88.235456,64.0,339.6,Overspeed,6.645,7800
2025-09-16 10:11:00,WB4222,trip-0002,1,22.825387,88.235106,60.0,339.0,,6.695,7860
2025-09-16 10:12:00,WB4222,trip-0002,1,22.826494,88.234648,63.7,339.2,Overspeed,6.747,7920
2025-09-16 10:13:00,WB4222,trip-0002,1,22.827335,88.234302,61.9,339.2,Overspeed,6.798,7980
2025-09-16 10:14:00,WB4222,trip-0002,1,22.828175,88.233955,62.2,339.2,HarshAcceleration,6.863,8040
2025-09-16 10:15:00,WB4222,trip-0002,1,22.829016,88.233608,63.5,339.2,Overspeed,6.915,8100
2025-09-16 10:16:00,WB4222,trip-0002,1,22.829945,88.233226,62.3,339.2,Overspeed,6.967,8160
2025-09-16 10:17:00,WB4222,trip-0002,1,22.830786,88.23288,58.1,339.2,,7.016,8220
2025-09-16 10:18:00,WB4222,trip-0002,1,22.831627,88.232534,57.9,339.2,,7.064,8280
2025-09-16 10:19:00,WB4222,trip-0002,1,22.832708,88.232089,59.2,339.2,,7.114,8340
2025-09-16 10:20:00,WB4222,trip-0002,1,22.836186,88.2304,62.7,335.9,Overspeed,7.166,8400
2025-09-16 10:21:00,WB4222,trip-0002,1,22.837938,88.229442,62.1,333.3,Overspeed,7.217,8460
2025-09-16 10:22:00,WB4222,trip-0002,1,22.838741,88.229004,60.9,333.3,Overspeed,7.268,8520
2025-09-16 10:23:00,WB4222,trip-0002,1,22.839544,88.228565,63.8,333.3,Overspeed,7.32,8580
2025-09-16 10:24:00,WB4222,trip-0002,1,22.84088,88.227838,60.4,333.4,Overspeed,7.37,8640
2025-09-16 10:25:00,WB4222,trip-0002,1,22.841684,88.227401,57.0,333.4,,7.418,8700
2025-09-16 10:26:00,WB4222,trip-0002,1,22.842488,88.226964,62.1,333.4,Overspeed,7.47,8760
2025-09-16 10:27:00,WB4222,trip-0002,1,22.846051,88.225029,62.9,333.4,Overspeed,7.522,8820
2025-09-16 10:28:00,WB4222,trip-0002,1,22.847653,88.224156,60.4,333.3,HarshAcceleration,7.585,8880
2025-09-16 10:29:00,WB4222,trip-0002,1,22.848457,88.223718,57.6,333.4,,7.634,8940
2025-09-16 10:30:00,WB4222,trip-0002,1,22.849261,88.223281,64.2,333.4,Overspeed,7.687,9000
2025-09-16 10:31:00,WB4222,trip-0002,1,22.851284,88.222185,63.7,333.5,Overspeed,7.739,9060
2025-09-16 10:32:00,WB4222,trip-0002,1,22.85249,88.221532,58.2,333.5,,7.788,9120
2025-09-16 10:33:00,WB4222,trip-0002,1,22.853295,88.221097,59.5,333.6,,7.837,9180
2025-09-16 10:34:00,WB4222,trip-0002,1,22.854101,88.220663,63.4,333.6,Overspeed,7.89,9240
2025-09-16 10:35:00,WB4222,trip-0002,1,22.855064,88.220141,64.2,333.5,Overspeed,7.942,9300
2025-09-16 10:36:00,WB4222,trip-0002,1,22.855869,88.219706,59.0,333.5,,7.992,9360
2025-09-16 10:37:00,WB4222,trip-0002,1,22.857878,88.218624,63.2,333.6,Overspeed,8.044,9420
2025-09-16 10:38:00,WB4222,trip-0002,1,22.860011,88.21745,60.3,333.1,Overspeed,8.094,9480
2025-09-16 10:39:00,WB4222,trip-0002,1,22.860815,88.217012,58.2,333.4,,8.143,9540
2025-09-16 10:40:00,WB4222,trip-0002,1,22.863416,88.215606,63.9,333.5,Overspeed,8.196,9600
2025-09-16 10:41:00,WB4222,trip-0002,1,22.864221,88.21517,63.5,333.5,Overspeed,8.248,9660
2025-09-16 10:42:00,WB4222,trip-0002,1,22.865026,88.214735,57.2,333.5,,8.296,9720
2025-09-16 10:43:00,WB4222,trip-0002,1,22.866443,88.213979,59.7,333.8,,8.346,9780
2025-09-16 10:44:00,WB4222,trip-0002,1,22.867251,88.213551,63.4,333.9,Overspeed,8.398,9840
2025-09-16 10:45:00,WB4222,trip-0002,1,22.868059,88.213122,63.5,333.9,Overspeed,8.45,9900
2025-09-16 10:46:00,WB4222,trip-0002,1,22.869557,88.212331,63.3,334.1,Overspeed,8.503,9960
2025-09-16 10:47:00,WB4222,trip-0002,1,22.870964,88.211559,64.0,333.1,Overspeed,8.555,10020
2025-09-16 10:48:00,WB4222,trip-0002,1,22.871767,88.211121,58.8,333.4,,8.604,10080
2025-09-16 10:49:00,WB4222,trip-0002,1,22.872571,88.210683,60.7,333.4,Overspeed,8.655,10140
2025-09-16 10:50:00,WB4222,trip-0002,1,22.873375,88.210246,63.4,333.4,Overspeed,8.707,10200
2025-09-16 10:51:00,WB4222,trip-0002,1,22.874179,88.209808,57.2,333.4,,8.755,10260
2025-09-16 10:52:00,WB4222,trip-0002,1,22.874983,88.20937,59.6,333.4,,8.805,10320
2025-09-16 10:53:00,WB4222,trip-0002,1,22.875787,88.208932,64.7,333.4,Overspeed,8.858,10380
2025-09-16 10:54:00,WB4222,trip-0002,1,22.877298,88.208111,62.1,333.4,Overspeed,8.91,10440
2025-09-16 10:55:00,WB4222,trip-0002,1,22.878102,88.207674,64.8,333.4,Overspeed,8.963,10500
2025-09-16 10:56:00,WB4222,trip-0002,1,22.878906,88.207237,64.5,333.4,Overspeed,9.016,10560
2025-09-16 10:57:00,WB4222,trip-0002,1,22.87971,88.2068,64.8,333.4,Overspeed,9.069,10620
2025-09-16 10:58:00,WB4222,trip-0002,1,22.880514,88.206362,64.7,333.4,Overspeed,9.122,10680
2025-09-16 10:59:00,WB4222,trip-0002,1,22.881318,88.205925,57.9,333.4,,9.171,10740
2025-09-16 11:00:00,WB4222,trip-0002,1,22.882122,88.205488,62.8,333.4,Overspeed,9.223,10800
2025-09-16 11:01:00,WB4222,trip-0002,1,22.887102,88.203526,61.8,340.0,Overspeed,9.274,10860
2025-09-16 11:02:00,WB4222,trip-0002,1,22.88798,88.203315,60.1,347.5,Overspeed,9.324,10920
2025-09-16 11:03:00,WB4222,trip-0002,1,22.888999,88.203068,59.0,347.4,,9.373,10980
2025-09-16 11:04:00,WB4222,trip-0002,1,22.890077,88.202814,57.0,347.7,,9.421,11040
2025-09-16 11:05:00,WB4222,trip-0002,1,22.890954,88.202601,61.3,347.4,Overspeed,9.472,11100
2025-09-16 11:06:00,WB4222,trip-0002,1,22.891845,88.202392,62.9,347.8,Overspeed,9.524,11160
2025-09-16 11:07:00,WB4222,trip-0002,1,22.894352,88.201791,59.9,347.5,Overspeed,9.574,11220
2025-09-16 11:08:00,WB4222,trip-0002,1,22.89523,88.201578,62.3,347.4,Overspeed,9.626,11280
2025-09-16 11:09:00,WB4222,trip-0002,1,22.896108,88.201366,59.5,347.4,,9.675,11340
2025-09-16 11:10:00,WB4222,trip-0002,1,22.896986,88.201154,62.8,347.4,Overspeed,9.727,11400
2025-09-16 11:11:00,WB4222,trip-0002,1,22.897863,88.200941,59.5,347.4,,9.777,11460
2025-09-16 11:12:00,WB4222,trip-0002,1,22.898835,88.20071,60.2,347.6,Overspeed,9.827,11520
2025-09-16 11:13:00,WB4222,trip-0002,1,22.899714,88.200501,58.0,347.6,,9.876,11580
2025-09-16 11:14:00,WB4222,trip-0002,1,22.900592,88.200292,64.5,347.6,Overspeed,9.929,11640
